,models,params,mean_fit_time,mean_test_score
38,no_noise|mymethod|randomforestclassifier,"{'mymethod__granularity': 0.5, 'mymethod__method': 'mislabel_rate', 'mymethod__n_splits': 5, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.75, 'randomforestclassifier__random_state': 2357136044}",94.34140472412109,0.6201864269397981
147,no_noise|mymethod|randomforestclassifier,"{'mymethod__granularity': 2, 'mymethod__method': 'obs_percent', 'mymethod__n_splits': 2, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'randomforestclassifier__random_state': 2357136044}",39.98854446411133,0.6201753739591778
211,no_noise|mymethod|randomforestclassifier,"{'mymethod__granularity': 3, 'mymethod__method': 'obs_percent', 'mymethod__n_splits': 6, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'randomforestclassifier__random_state': 2357136044}",134.07408471107482,0.6201698474688675
175,no_noise|mymethod|randomforestclassifier,"{'mymethod__granularity': 2, 'mymethod__method': 'mislabel_rate', 'mymethod__n_splits': 3, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'randomforestclassifier__random_state': 2357136044}",65.17763633728028,0.6201643209785572
43,no_noise|mymethod|randomforestclassifier,"{'mymethod__granularity': 0.5, 'mymethod__method': 'mislabel_rate', 'mymethod__n_splits': 6, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'randomforestclassifier__random_state': 2357136044}",122.93920593261718,0.6201532679979367
391,noise5|mymethod|randomforestclassifier,"{'mymethod__granularity': 1, 'mymethod__method': 'obs_percent', 'mymethod__n_splits': 3, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",51.45402851104736,0.6201422150173164
895,noise10|mymethod|randomforestclassifier,"{'mymethod__granularity': 3, 'mymethod__method': 'mislabel_rate', 'mymethod__n_splits': 3, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",67.84836192131043,0.619549038390686
27,no_noise|mymethod|randomforestclassifier,"{'mymethod__granularity': 0.5, 'mymethod__method': 'mislabel_rate', 'mymethod__n_splits': 2, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'randomforestclassifier__random_state': 2357136044}",31.894738578796385,0.6195435119003758
403,noise5|mymethod|randomforestclassifier,"{'mymethod__granularity': 1, 'mymethod__method': 'obs_percent', 'mymethod__n_splits': 6, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",103.29214472770691,0.6195379854100656
151,no_noise|mymethod|randomforestclassifier,"{'mymethod__granularity': 2, 'mymethod__method': 'obs_percent', 'mymethod__n_splits': 3, 'mymethod__random_state': 2357136044, 'mymethod__threshold': 0.99, 'randomforestclassifier__random_state': 2357136044}",65.37761182785034,0.6195324589197554
